Name,Album,Artist,URI
APT.,APT.,ROSÉ,spotify:track:5vNRhkKd0yEAg8suGBpjeY
Die With A Smile,Die With A Smile,Lady Gaga,spotify:track:2plbrEY59IikOBgBGLjaoe
Azizam,Azizam,Ed Sheeran,spotify:track:0GRc3eGTg8HBdWLRGYgqIc
Espresso,Espresso,Sabrina Carpenter,spotify:track:2qSkIjg1o9h3YT9RAgYN75
luther (with sza),GNX,Kendrick Lamar,spotify:track:45J4avUb9Ni0bnETYaYFVJ
ExtraL (feat. Doechii),ExtraL (feat. Doechii),JENNIE,spotify:track:7AKwWqnoMmvCqBQtcdIECG
I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB
Taste,Short n' Sweet,Sabrina Carpenter,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ
Rush,Rush,Ayra Starr,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,spotify:track:7221xIgOnuakPdLqT0F3nP
Move,Move,Adam Port,spotify:track:1BJJbSX6muJVF2AK7uH1x4
That’s So True,The Secret of Us (Deluxe),Gracie Abrams,spotify:track:7ne4VBA60CxGM75vw0EYad
Stargazing,Stargazing,Myles Smith,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,spotify:track:331l3xABO0HMr1Kkyh2LZq
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,spotify:track:0V584xEQYJ1NTIdGH7hDVg
New Woman (feat. ROSALÍA),New Woman (feat. ROSALÍA),LISA,spotify:track:7ov3TDp5D00Rnu5R1viX4w
Feel It (From “Invincible”),Feel It (From “Invincible”),d4vd,spotify:track:3SAga35lAPYdjj3qyfEsCF
I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists,spotify:track:13NSf2YJVP9RLNBulaVART
golden hour,golden hour,JVKE,spotify:track:6GD1eomgaGT1Epto6Q5eAo
Bad Dreams,I've Tried Everything But Therapy (Part 2),Teddy Swims,spotify:track:3BntzKsnLf2pc0dsvE3Zav
Carry You Home,20s Country Songs,Various Artists,spotify:track:64w75rrzxCw16mqFvEo8th
Nonsense,Música en todos lados,Various Artists,spotify:track:1nStjUzehuAN2qy9MQpBF4
Younger And Hotter Than Me,I Said I Love You First,Selena Gomez,spotify:track:4XKCwXacGJ0Am1s7oD2rDM
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,spotify:track:0O6u0VJ46W86TxN9wgyqDj
Made You Look,Hot Summer Party Mix,Summer Hits,spotify:track:5jxLkBlwfgVNgUsoxIr0F0
Juno,Short n' Sweet,Sabrina Carpenter,spotify:track:21B4gaTWnTkuSh77iWEXdS
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,spotify:track:0HaRLPnr887lcQM2YQzkff
HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan,spotify:track:4xdBrk0nFZaP54vvZj0yx7
Don't You Worry,Elevation,Black Eyed Peas,spotify:track:7yZ1lBorF0Iye0PVth8aM2
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,spotify:track:629DixmZGHc7ILtEntuiWE
the boy is mine,eternal sunshine,Ariana Grande,spotify:track:0Lmbke3KNVFXtoH2mMSHCw
"yes, and?","yes, and?",Ariana Grande,spotify:track:7gaA3wERFkFkgivjwbSvkG
"24/7, 365",bright orange everglow,elijah woods,spotify:track:7DFwy0ki0TfOfdDCr66ahT
The Drum,The Drum,Alan Walker,spotify:track:1zOOl8f7qkjj0AmvlCfLyQ
Ring Ring,Ring Ring,MIRA,spotify:track:4cSp2hlUlAwgurjIqHN592
"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists,spotify:track:0QOiD5KHfvRm63iqwpute8
Nobody - from Kaiju No. 8,Nobody (from Kaiju No. 8),OneRepublic,spotify:track:47N81NMkB488fuOwOC3Oip
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé,spotify:track:0Z7nGFVCLfixWctgePsRk9
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,spotify:track:6ehWdR7cGDXnT7aKEASJxE
Freeze,Freeze,Kygo,spotify:track:4X66U6SUjvZqiKYIpCWXnq
Dancing In The Flames,Dancing In The Flames,The Weeknd,spotify:track:7z7kvUQGwlC6iOl7vMuAr9
From the Islands (kompa pasión),From the Islands (kompa pasión),фрози,spotify:track:6a6nqomE4fMYo0ESHhKZRv
