Name,Album,Artist,URI
Heathens,Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr
Attention,Voicenotes,Charlie Puth,spotify:track:5cF0dROlMOK5uNZtivgu50
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,spotify:track:7JJmb5XwzOO8jgpou264Ml
Believer,Evolve,Imagine Dragons,spotify:track:0pqnGHJpmpxLKifKRmU6WP
Galway Girl,÷ (Deluxe),Ed Sheeran,spotify:track:0afhq8XCExXpqazXczTSve
Faded,Different World,Alan Walker,spotify:track:698ItKASDavgwZ3WjaWjtz
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,spotify:track:72gv4zhNvRVdQA0eOenCal
Fight Song,Wildfire,Rachel Platten,spotify:track:37f4ITSlgPX81ad2EvmVQr
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,spotify:track:2hrUO4drrO63i7FYbCLBl2
Shape of You,÷ (Deluxe),Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Something Just Like This,Memories...Do Not Open,The Chainsmokers,spotify:track:6RUKPb4LETWmmr3iAEQktW
Treat You Better,Illuminate (Deluxe),Shawn Mendes,spotify:track:48DKpTEVJ2pAjxQbWTad3q
Thunder,Evolve,Imagine Dragons,spotify:track:1zB4vmk8tFRmM9UULNzbLB
Havana (feat. Young Thug),Camila,Camila Cabello,spotify:track:1rfofaqEpACxVEHIZBJe6W
Let Me Love You,Encore,DJ Snake,spotify:track:0lYBSQXN6rCTvUZvg9S0lU
Mama,Blue,Jonas Blue,spotify:track:7jEyX4bqaCSdMN4D4JNnVj
Alone,Different World,Alan Walker,spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk
That's What I Like,24K Magic,Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
In the Name of Love,In the Name of Love,Martin Garrix,spotify:track:23L5CiUhw2jV1OIMwthR3S
Wolves,Wolves,Selena Gomez,spotify:track:0tBbt8CrmxbjRP0pueQkyU
Mercy,Illuminate (Deluxe),Shawn Mendes,spotify:track:0AS63m1wHv9n4VVRizK6Hc
How Long,Voicenotes,Charlie Puth,spotify:track:6wmAHw1szh5RCKSRjiXhPe
Paris,Memories...Do Not Open,The Chainsmokers,spotify:track:72jbDTw1piOOj770jWNeaG
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,spotify:track:5bcTCxgc7xVfSaMV3RuVke
